Name,Release date,Estimated owners,Price,DLC count,Header image,Median playtime forever,Categories,Genres,Tags,Game age,Website,Estimated yearly revenue,Bayesian votes,Characteristics
The WereCleaner,2024-05-07,0.6780830971139326,0.0,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2795000/header.jpg?t=1743640867,0,"Single-player,Steam Achievements,Full controller support","Action,Casual,Indie,Strategy,Free To Play","Stealth,Casual,Cartoony,Dark Humor,Strategy,Cute,Arcade,Singleplayer,Tactical,Free to Play,Retro,Action-Adventure,Colorful,Werewolves,3D,Comedy,Top-Down,Indie,Action,Controller",2.0,https://store.steampowered.com/app/2795000/,0.0,0.9940342613964286,casual controller tactical werewolves actionadventure singleplayer colorful cartoon arcade action indie darkhumor 3d freetoplay retro stealth cute comedy topdown strategy
HoloCure - Save the Fans!,2023-08-16,0.755384370197392,0.0,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2420510/header.jpg?t=1740642230,0,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure,Casual,Indie","Pixel Graphics,Bullet Hell,Anime,Action Roguelike,Cute,Rogue-lite,2D,Action,Top-Down Shooter,Singleplayer,Casual,Female Protagonist,Arcade,Colorful,Fishing,Farming,Score Attack,Fantasy,Free to Play,Comedy",2.72,https://store.steampowered.com/app/2420510/,0.0,0.990355879527814,casual fantasy pixelgraphics actionroguelike fishing femaleprotagonist controller roguelite adventure singleplayer anime colorful arcade 2d scoreattack farming action indie bullethell freetoplay topdownshooter cute comedy
Buy a Croquette!,2024-04-27,0.6330768564718121,0.0,2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2167960/a0356eadf036626e2187ee90ede2b46fa85cb115/header.jpg?t=1758256758,230,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Casual,Indie,RPG,Strategy,Free To Play","RPGMaker,Mystery,Sci-fi,Puzzle,Psychological Horror,Funny,Multiple Endings,Female Protagonist,Exploration,Strategy,JRPG,Interactive Fiction,Pixel Graphics,Strategy RPG,Casual,Drama,RPG,Adventure,Visual Novel,Anime",2.02,https://store.steampowered.com/app/2167960/,0.0,0.9896891305404716,casual controller pixelgraphics funny femaleprotagonist jrpg interactivefiction puzzle adventure anime rpgmaker visualnovel psychologicalhorror drama strategyrpg indie rpg freetoplay exploration mystery singleplayer scifi multipleendings strategy
Our Life: Beginnings & Always,2020-11-16,0.7185660793429937,0.0,9,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1129190/header.jpg?t=1745249279,461,"Single-player,Steam Achievements","Casual,Indie,Free To Play","Visual Novel,Romance,LGBTQ+,Character Customization,Dating Sim,Choices Matter,Free to Play,Choose Your Own Adventure,Cute,Relaxing,Multiple Endings,Otome,Interactive Fiction,Replay Value,Singleplayer,Indie,Casual,Funny,Drama,Comedy",5.47,https://store.steampowered.com/app/1129190/,0.0,0.9880079405169144,casual romance otome funny relaxing charactercustomization interactivefiction replayvalue singleplayer visualnovel datingsim chooseyourownadventure drama indie freetoplay lgbtq+ choicesmatter cute multipleendings comedy
Word Game: Episode 0,2021-01-14,0.6330768564718121,0.0,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1507970/header.jpg?t=1734721449,36,Single-player,"Adventure,Indie,RPG,Strategy","Minimalist,Indie,Pixel Graphics,Puzzle,Free to Play,RPG,Choose Your Own Adventure,2D Platformer,Adventure,Exploration,JRPG,Strategy,2D,Noir,Story Rich,Linear,Narration,Stylized,Magic,Atmospheric",5.31,https://store.steampowered.com/app/1507970/,0.0,0.9869286976678188,pixelgraphics jrpg storyrich puzzle adventure minimalist narration 2d noir stylized chooseyourownadventure linear indie rpg 2dplatformer freetoplay magic exploration singleplayer atmospheric strategy
NOeSIS02_羽化,2021-11-08,0.5962588843196084,0.0,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1423370/header.jpg?t=1653380493,0,Single-player,"Adventure,Casual,Free To Play,Indie,RPG,Simulation","RPG,2D,Anime,Cute,Casual,Horror,Singleplayer,Interactive Fiction,Story Rich,Strategy,Dating Sim,Psychological Horror,FPS,Mystery,Sexual Content,Free to Play,Romance,Hentai,Indie,Gore",4.49,https://store.steampowered.com/app/1423370/,0.0,0.9865967676641546,casual romance simulation interactivefiction storyrich adventure singleplayer anime gore 2d datingsim psychologicalhorror fps indie rpg freetoplay horror mystery sexualcontent cute hentai strategy
DOTOKOI / 像素男友,2019-12-23,0.5962588843196084,0.0,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1198320/header.jpg?t=1577155964,0,"Single-player,Steam Cloud","Casual,Indie,RPG","Casual,RPG,Indie,Female Protagonist,Pixel Graphics,Visual Novel,Otome,Free to Play,Anime",6.37,https://store.steampowered.com/app/1198320/,0.0,0.9861678015262448,casual singleplayer pixelgraphics indie rpg otome anime femaleprotagonist visualnovel freetoplay
Grimm's Hollow,2019-10-30,0.7185660793429937,0.0,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1170880/header.jpg?t=1630243141,88,"Single-player,Partial Controller Support,Steam Cloud","Adventure,Free To Play,Indie,RPG","Free to Play,Pixel Graphics,RPG,Indie,Singleplayer,Story Rich,Adventure,Cute,Multiple Endings,RPGMaker,Turn-Based,2D,Great Soundtrack,Female Protagonist,Emotional,Short,Turn-Based Combat,Atmospheric,JRPG,Horror",6.52,https://store.steampowered.com/app/1170880/,0.0,0.9857876840100962,pixelgraphics turnbased femaleprotagonist jrpg controller emotional storyrich greatsoundtrack turnbasedcombat adventure singleplayer rpgmaker 2d short indie rpg freetoplay horror cute multipleendings atmospheric
The Supper,2020-01-28,0.6330768564718121,0.0,2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1171370/header.jpg?t=1741430422,0,Single-player,"Adventure,Casual,Indie,Free To Play","Cooking,Point & Click,Adventure,Dark Humor,Female Protagonist,Story Rich,Pixel Graphics,Horror,Gore,Psychological Horror,Puzzle,Mystery,Dark,Free to Play,Indie,Surreal,Hidden Object,Singleplayer,Casual,Short",6.27,https://store.steampowered.com/app/1171370/,0.0,0.9853660200824216,casual cooking pixelgraphics surreal femaleprotagonist hiddenobject storyrich puzzle adventure singleplayer gore psychologicalhorror short indie darkhumor dark freetoplay horror mystery pointandclick
Batman: Arkham City,2011-11-15,0.5962588843196084,0.0,5,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/57400/header.jpg?t=1684482795,1067,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure","Action,Adventure,Open World,Third Person,Superhero,Singleplayer,Stealth",14.47,https://store.steampowered.com/app/57400/,0.0,0.9837155375770168,singleplayer action adventure thirdperson controller superhero stealth openworld
