Name,Release date,Estimated owners,Price,DLC count,Header image,Median playtime forever,Categories,Genres,Tags,Game age,Website,Estimated yearly revenue,Bayesian votes,Characteristics
The WereCleaner,2024-05-07,0.6780830971139326,0.0,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2795000/header.jpg?t=1743640867,0,"Single-player,Steam Achievements,Full controller support","Action,Casual,Indie,Strategy,Free To Play","Stealth,Casual,Cartoony,Dark Humor,Strategy,Cute,Arcade,Singleplayer,Tactical,Free to Play,Retro,Action-Adventure,Colorful,Werewolves,3D,Comedy,Top-Down,Indie,Action,Controller",2.0,https://store.steampowered.com/app/2795000/,0.0,0.9940342613964286,topdown cute action controller freetoplay werewolves singleplayer darkhumor arcade cartoon retro strategy stealth indie actionadventure comedy casual tactical 3d colorful
HoloCure - Save the Fans!,2023-08-16,0.755384370197392,0.0,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2420510/header.jpg?t=1740642230,0,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure,Casual,Indie","Pixel Graphics,Bullet Hell,Anime,Action Roguelike,Cute,Rogue-lite,2D,Action,Top-Down Shooter,Singleplayer,Casual,Female Protagonist,Arcade,Colorful,Fishing,Farming,Score Attack,Fantasy,Free to Play,Comedy",2.72,https://store.steampowered.com/app/2420510/,0.0,0.990355879527814,scoreattack topdownshooter cute action actionroguelike freetoplay singleplayer 2d arcade bullethell farming fishing femaleprotagonist adventure indie comedy pixelgraphics casual controller fantasy roguelite colorful anime
Buy a Croquette!,2024-04-27,0.6330768564718121,0.0,2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2167960/a0356eadf036626e2187ee90ede2b46fa85cb115/header.jpg?t=1758256758,230,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Casual,Indie,RPG,Strategy,Free To Play","RPGMaker,Mystery,Sci-fi,Puzzle,Psychological Horror,Funny,Multiple Endings,Female Protagonist,Exploration,Strategy,JRPG,Interactive Fiction,Pixel Graphics,Strategy RPG,Casual,Drama,RPG,Adventure,Visual Novel,Anime",2.02,https://store.steampowered.com/app/2167960/,0.0,0.9896891305404716,funny mystery multipleendings freetoplay psychologicalhorror strategy puzzle rpgmaker femaleprotagonist visualnovel adventure jrpg scifi singleplayer indie interactivefiction drama casual pixelgraphics exploration strategyrpg controller rpg anime
Our Life: Beginnings & Always,2020-11-16,0.7185660793429937,0.0,9,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1129190/header.jpg?t=1745249279,461,"Single-player,Steam Achievements","Casual,Indie,Free To Play","Visual Novel,Romance,LGBTQ+,Character Customization,Dating Sim,Choices Matter,Free to Play,Choose Your Own Adventure,Cute,Relaxing,Multiple Endings,Otome,Interactive Fiction,Replay Value,Singleplayer,Indie,Casual,Funny,Drama,Comedy",5.47,https://store.steampowered.com/app/1129190/,0.0,0.9880079405169144,funny cute multipleendings lgbtq+ freetoplay singleplayer romance choicesmatter otome visualnovel indie interactivefiction drama relaxing comedy datingsim charactercustomization casual chooseyourownadventure replayvalue
Word Game: Episode 0,2021-01-14,0.6330768564718121,0.0,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1507970/header.jpg?t=1734721449,36,Single-player,"Adventure,Indie,RPG,Strategy","Minimalist,Indie,Pixel Graphics,Puzzle,Free to Play,RPG,Choose Your Own Adventure,2D Platformer,Adventure,Exploration,JRPG,Strategy,2D,Noir,Story Rich,Linear,Narration,Stylized,Magic,Atmospheric",5.31,https://store.steampowered.com/app/1507970/,0.0,0.9869286976678188,chooseyourownadventure stylized freetoplay 2d strategy 2dplatformer puzzle adventure jrpg singleplayer atmospheric indie linear pixelgraphics magic exploration storyrich rpg minimalist narration noir
NOeSIS02_羽化,2021-11-08,0.5962588843196084,0.0,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1423370/header.jpg?t=1653380493,0,Single-player,"Adventure,Casual,Free To Play,Indie,RPG,Simulation","RPG,2D,Anime,Cute,Casual,Horror,Singleplayer,Interactive Fiction,Story Rich,Strategy,Dating Sim,Psychological Horror,FPS,Mystery,Sexual Content,Free to Play,Romance,Hentai,Indie,Gore",4.49,https://store.steampowered.com/app/1423370/,0.0,0.9865967676641546,cute mystery freetoplay psychologicalhorror singleplayer hentai romance 2d strategy sexualcontent fps simulation adventure indie interactivefiction datingsim gore casual storyrich horror rpg anime
DOTOKOI / 像素男友,2019-12-23,0.5962588843196084,0.0,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1198320/header.jpg?t=1577155964,0,"Single-player,Steam Cloud","Casual,Indie,RPG","Casual,RPG,Indie,Female Protagonist,Pixel Graphics,Visual Novel,Otome,Free to Play,Anime",6.37,https://store.steampowered.com/app/1198320/,0.0,0.9861678015262448,visualnovel singleplayer indie otome rpg pixelgraphics freetoplay anime casual femaleprotagonist
Grimm's Hollow,2019-10-30,0.7185660793429937,0.0,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1170880/header.jpg?t=1630243141,88,"Single-player,Partial Controller Support,Steam Cloud","Adventure,Free To Play,Indie,RPG","Free to Play,Pixel Graphics,RPG,Indie,Singleplayer,Story Rich,Adventure,Cute,Multiple Endings,RPGMaker,Turn-Based,2D,Great Soundtrack,Female Protagonist,Emotional,Short,Turn-Based Combat,Atmospheric,JRPG,Horror",6.52,https://store.steampowered.com/app/1170880/,0.0,0.9857876840100962,cute greatsoundtrack multipleendings turnbased freetoplay singleplayer 2d rpgmaker femaleprotagonist adventure jrpg atmospheric indie turnbasedcombat pixelgraphics controller storyrich horror short rpg emotional
The Supper,2020-01-28,0.6330768564718121,0.0,2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1171370/header.jpg?t=1741430422,0,Single-player,"Adventure,Casual,Indie,Free To Play","Cooking,Point & Click,Adventure,Dark Humor,Female Protagonist,Story Rich,Pixel Graphics,Horror,Gore,Psychological Horror,Puzzle,Mystery,Dark,Free to Play,Indie,Surreal,Hidden Object,Singleplayer,Casual,Short",6.27,https://store.steampowered.com/app/1171370/,0.0,0.9853660200824216,mystery freetoplay dark psychologicalhorror darkhumor singleplayer cooking hiddenobject puzzle femaleprotagonist adventure indie gore pixelgraphics casual pointandclick storyrich horror surreal short
Batman: Arkham City,2011-11-15,0.5962588843196084,0.0,5,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/57400/header.jpg?t=1684482795,1067,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure","Action,Adventure,Open World,Third Person,Superhero,Singleplayer,Stealth",14.47,https://store.steampowered.com/app/57400/,0.0,0.9837155375770168,adventure openworld singleplayer action thirdperson superhero stealth controller
