Name,Release date,Estimated owners,Price,DLC count,Header image,Median playtime forever,Categories,Genres,Tags,Game age,Website,Estimated yearly revenue,Bayesian votes,Characteristics
Kabuto Park,2025-05-28,0.5557766305439302,3.99,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3376990/header.jpg?t=1763973506,153,"Single-player,Steam Achievements,Steam Trading Cards,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Mouse Only Option,Playable without Timed Input,Touch Only Option,Steam Cloud,Family Sharing","Casual,Indie,RPG,Simulation,Strategy","Casual,Creature Collector,Nature,Cozy,Cute,Card Battler,Colorful,Relaxing,RPG,PvE,Deckbuilding,Party-Based RPG,Strategy,2D,Hand-drawn,Simulation,Cartoony,Female Protagonist,Singleplayer,Family Friendly",0.94,https://store.steampowered.com/app/3376990/,0.549027276167062,0.9957727326823197,rpg touchonlyoption coloralternatives customvolumecontrols nature handdrawn relaxing playablewithouttimedinput cozy cute femaleprotagonist simulation casual mouseonly cardbattler singleplayer deckbuilding familyfriendly indie strategy 2d creaturecollector partybasedrpg colorful cartoon pve
The WereCleaner,2024-05-07,0.6780830971139326,0.0,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2795000/header.jpg?t=1743640867,0,"Single-player,Steam Achievements,Full controller support","Action,Casual,Indie,Strategy,Free To Play","Stealth,Casual,Cartoony,Dark Humor,Strategy,Cute,Arcade,Singleplayer,Tactical,Free to Play,Retro,Action-Adventure,Colorful,Werewolves,3D,Comedy,Top-Down,Indie,Action,Controller",2.0,https://store.steampowered.com/app/2795000/,0.0,0.994034264288728,3d comedy controller actionadventure arcade werewolves cute darkhumor casual singleplayer freetoplay indie strategy action tactical topdown retro colorful cartoon stealth
A Castle Full of Cats,2022-11-09,0.6330768564718121,2.39,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2070550/header.jpg?t=1764106481,131,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Adventure,Casual","Cats,Hidden Object,Wholesome,Point & Click,Cozy,Creature Collector,Relaxing,Puzzle,Minimalist,Adventure,Casual,Exploration,Vampire,Singleplayer,Cute,Hand-drawn,Metroidvania,Cartoony,Horror,Collectathon",3.49,https://store.steampowered.com/app/2070550/,0.5320160660866045,0.9934240438714291,metroidvania pointandclick handdrawn vampire relaxing cats cozy cute collectathon casual singleplayer horror minimalist creaturecollector hiddenobject adventure exploration cartoon puzzle wholesome
A Tower Full of Cats,2024-05-20,0.5557766305439302,4.19,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2179170/header.jpg?t=1764106676,293,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Adventure,Casual","Cats,Hidden Object,Puzzle,Point & Click,Creature Collector,Relaxing,Adventure,Story Rich,Collectathon,Historical,Cozy,Alternate History,Wholesome,Minimalist,Cute,Time Travel,Hand-drawn,Casual,Colorful,Family Friendly",1.96,https://store.steampowered.com/app/2179170/,0.5174052320771896,0.9932140486779653,alternatehistory pointandclick historical handdrawn relaxing cats cozy cute collectathon casual familyfriendly timetravel storyrich minimalist creaturecollector hiddenobject adventure singleplayer colorful puzzle wholesome
Beastieball,2024-11-12,0.5557766305439302,21.24,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1864950/header.jpg?t=1757697790,260,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Playable without Timed Input,Save Anytime,Stereo Sound,Steam Cloud,Family Sharing","Adventure,Indie,RPG,Sports,Early Access","Early Access,Creature Collector,Sports,Turn-Based Tactics,Exploration,PvP,RPG,e-sports,JRPG,Character Customization,2.5D,Comic Book,Open World,Story Rich,Cartoony,Colorful,Stylized,Adventure,Tactical,Cartoon",1.48,https://store.steampowered.com/app/1864950/,0.6051883810736545,0.9928433703724762,controller onlinepvp openworld rpg coloralternatives customvolumecontrols comicbook cartoon playablewithouttimedinput 2.5d pvp saveanytime keyboardonlyoption earlyaccess jrpg storyrich indie tactical stylized creaturecollector sports adventure singleplayer exploration stereosound colorful esports turnbasedtactics multiplayer charactercustomization
Papa's Freezeria Deluxe,2023-03-31,0.6780830971139326,4.79,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2291760/header.jpg?t=1700157490,346,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Action,Casual,Indie,Simulation,Strategy","Cooking,Time Management,Simulation,Job Simulator,Casual,Strategy,Character Customization,Management,Singleplayer,Indie,Nostalgia,2D,Cult Classic,Classic,Family Friendly,Cute,Colorful,Funny,Action,Souls-like",3.1,https://store.steampowered.com/app/2291760/,0.6085939511952837,0.9922790354374754,management cooking nostalgia cute jobsimulator simulation casual timemanagement singleplayer classic familyfriendly indie strategy action 2d soulslike funny colorful cultclassic charactercustomization
Seal World,2023-12-26,0.5557766305439302,3.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1684410/header.jpg?t=1762577901,52,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Casual,"Comedy,Cute,Funny,Exploration,Wholesome,Story Rich,Collectathon,Colorful,Walking Simulator,Character Customization,Family Friendly,Platformer,Conversation,3D Platformer,Casual,3D,Relaxing,Third Person,Singleplayer,Text-Based",2.36,https://store.steampowered.com/app/1684410/,0.506588462837381,0.9918222518627586,3d comedy controller relaxing cute textbased 3dplatformer collectathon thirdperson casual singleplayer conversation familyfriendly storyrich funny walkingsimulator platformer exploration colorful wholesome charactercustomization
TOEM: A Photo Adventure,2021-09-17,0.6780830971139326,3.99,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1307580/header.jpg?t=1758029984,195,"Single-player,Steam Achievements,Captions available,Camera Comfort,Custom Volume Controls,Keyboard Only Option,Playable without Timed Input,Save Anytime,Stereo Sound,Subtitle Options,Partial Controller Support,Steam Cloud,Family Sharing","Adventure,Casual,Indie","Cozy,Wholesome,Adventure,Puzzle,Exploration,Relaxing,Cute,Casual,Photo Editing,Hand-drawn,Hidden Object,Funny,Family Friendly,Atmospheric,Singleplayer,Cartoon,Music,Soundtrack,Stylized,Nature",4.63,https://store.steampowered.com/app/1307580/,0.5816749064670107,0.9917291420623998,soundtrack handdrawn customvolumecontrols nature relaxing cartoon playablewithouttimedinput cozy cute saveanytime casual music keyboardonlyoption singleplayer familyfriendly indie controller funny stylized hiddenobject adventure exploration stereosound puzzle wholesome atmospheric
A Short Hike,2019-07-30,0.6780830971139326,4.39,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1055540/header.jpg?t=1755182478,121,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Family Sharing","Adventure,Indie","Exploration,Relaxing,Adventure,Cute,Indie,Pixel Graphics,Open World,Casual,Nature,Short,Great Soundtrack,Singleplayer,3D Platformer,Beautiful,Family Friendly,Female Protagonist,Flight,Walking Simulator,Funny,Third Person",6.77,https://store.steampowered.com/app/1055540/,0.568563049659242,0.9914315431905857,controller openworld pixelgraphics nature relaxing greatsoundtrack cute 3dplatformer femaleprotagonist thirdperson casual beautiful singleplayer familyfriendly indie funny short walkingsimulator adventure exploration flight
Patrick's Parabox,2022-03-29,0.6330768564718121,9.99,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1260520/header.jpg?t=1745611653,258,"Single-player,Steam Achievements,Full controller support,Camera Comfort,Custom Volume Controls,Keyboard Only Option,Playable without Timed Input,Save Anytime,Steam Cloud,Family Sharing","Casual,Indie,Strategy","Puzzle,Sokoban,Logic,Minimalist,Abstract,Singleplayer,2D,Indie,Difficult,Casual,Strategy,Psychological Horror",4.1,https://store.steampowered.com/app/1260520/,0.5905296214051433,0.9914246394703414,controller customvolumecontrols playablewithouttimedinput psychologicalhorror sokoban logic saveanytime casual keyboardonlyoption singleplayer difficult indie strategy 2d minimalist abstract puzzle
